iter	Passed	Remaining
476	623	684
477	624	682
478	625	680
479	626	678
480	627	677
481	628	675
482	629	674
483	630	672
484	631	670
485	632	669
486	633	667
487	634	666
488	635	664
489	636	662
490	637	660
491	638	659
492	639	657
493	640	655
494	641	654
495	642	652
496	643	650
497	643	649
498	644	647
499	645	645
500	646	644
501	647	642
502	648	640
503	649	639
504	650	637
505	650	635
506	651	633
507	652	632
508	654	631
509	655	629
510	656	628
511	657	626
512	658	624
513	659	623
514	659	621
515	660	619
516	661	618
517	662	616
518	663	614
519	664	613
520	665	611
521	666	610
522	667	608
523	668	607
524	669	605
525	670	604
526	671	602
527	671	600
528	672	599
529	673	597
530	674	595
531	675	594
532	676	592
533	677	590
534	678	589
535	678	587
536	680	586
537	681	584
538	681	583
539	682	581
540	683	580
541	684	578
542	685	576
543	686	575
544	686	573
545	687	571
546	688	570
547	689	569
548	690	567
549	692	566
550	693	564
551	693	563
552	694	561
553	695	560
554	696	558
555	697	556
556	698	555
557	699	553
558	700	552
559	700	550
560	702	549
561	703	548
562	704	546
563	705	545
564	706	543
565	707	542
566	708	540
567	708	539
568	709	537
569	710	536
570	711	534
571	712	533
572	713	531
573	714	530
574	715	528
575	717	527
576	717	526
577	718	524
578	719	523
579	720	521
580	721	520
581	722	518
582	723	517
583	723	515
584	725	514
585	726	513
586	727	511
587	728	510
588	729	509
589	730	507
590	731	506
591	732	504
592	733	503
593	734	501
594	734	500
595	735	498
596	736	497
597	737	496
598	738	494
599	740	493
600	741	492
601	742	490
602	743	489
603	744	487
604	745	486
605	746	485
606	747	483
607	748	482
608	749	481
609	750	479
610	751	478
611	752	477
612	753	475
613	754	474
614	755	473
615	756	471
616	757	470
617	758	469
618	759	467
619	760	466
620	761	464
621	762	463
622	764	462
623	765	461
624	766	460
625	767	458
626	768	457
627	769	455
628	770	454
629	771	453
630	772	451
631	773	450
632	774	448
633	775	447
634	776	446
635	777	445
636	779	443
637	780	442
638	780	441
639	781	439
640	782	438
641	783	437
642	784	435
643	785	434
644	786	433
645	788	431
646	789	430
647	790	429
648	791	428
649	792	426
650	793	425
651	794	424
652	795	422
653	796	421
654	797	420
655	798	418
656	799	417
657	800	416
658	802	415
659	803	413
660	804	412
661	805	411
662	806	409
663	807	408
664	808	407
665	809	405
666	810	404
667	811	403
668	812	401
669	813	400
670	815	399
671	816	398
672	817	397
673	818	395
674	819	394
675	820	393
676	821	391
677	822	390
678	822	389
679	823	387
680	825	386
681	826	385
682	827	384
683	828	382
684	829	381
685	830	380
686	831	378
687	832	377
688	833	376
689	833	374
690	834	373
691	835	372
692	836	370
693	838	369
694	839	368
695	840	366
696	840	365
697	841	364
698	842	362
699	843	361
700	844	360
701	845	358
702	846	357
703	847	356
704	848	355
705	849	353
706	850	352
707	851	351
708	852	349
709	853	348
710	854	347
711	855	345
712	856	344
713	857	343
714	858	342
715	859	340
716	860	339
717	861	338
718	863	337
719	864	336
720	864	334
721	865	333
722	866	332
723	867	330
724	868	329
725	869	328
726	870	326
727	871	325
728	872	324
729	873	323
730	875	322
731	876	320
732	877	319
733	877	318
734	878	316
735	879	315
736	880	314
737	881	313
738	882	311
739	883	310
740	884	309
741	885	307
742	886	306
743	887	305
744	889	304
745	889	303
746	890	301
747	891	300
748	892	299
749	893	297
750	894	296
751	895	295
752	896	294
753	897	292
754	898	291
755	899	290
756	900	289
757	901	287
758	902	286
759	903	285
760	904	284
761	905	282
762	906	281
763	907	280
764	908	279
765	909	277
766	910	276
767	911	275
768	912	274
769	913	272
770	914	271
771	915	270
772	916	269
773	917	267
774	918	266
775	919	265
776	920	264
777	921	262
778	922	261
779	923	260
780	924	259
781	925	258
782	926	256
783	928	255
784	928	254
785	929	253
786	930	251
787	931	250
788	932	249
789	933	248
790	934	246
791	935	245
792	937	244
793	939	243
794	940	242
795	941	241
796	942	239
797	942	238
798	943	237
799	944	236
800	945	234
801	946	233
802	946	232
803	948	231
804	949	229
805	950	228
806	951	227
807	952	226
808	953	225
809	953	223
810	954	222
811	955	221
812	956	220
813	957	218
814	958	217
815	959	216
816	959	215
817	960	213
818	961	212
819	963	211
820	963	210
821	964	208
822	965	207
823	966	206
824	967	205
825	968	203
826	968	202
827	969	201
828	970	200
829	971	198
830	972	197
831	973	196
832	974	195
833	975	194
834	976	192
835	977	191
836	978	190
837	978	189
838	979	188
839	980	186
840	981	185
841	982	184
842	983	183
843	983	181
844	984	180
845	985	179
846	986	178
847	987	177
848	988	175
849	989	174
850	990	173
851	991	172
852	992	171
853	993	169
854	994	168
855	994	167
856	995	166
857	996	164
858	997	163
859	998	162
860	999	161
861	1000	160
862	1001	159
863	1002	157
864	1003	156
865	1004	155
866	1005	154
867	1006	153
868	1006	151
869	1007	150
870	1008	149
871	1009	148
872	1010	147
873	1011	145
874	1013	144
875	1013	143
876	1014	142
877	1015	141
878	1016	139
879	1016	138
880	1017	137
881	1018	136
882	1019	135
883	1020	133
884	1021	132
885	1022	131
886	1023	130
887	1024	129
888	1025	128
889	1026	126
890	1027	125
891	1028	124
892	1029	123
893	1030	122
894	1031	120
895	1032	119
896	1033	118
897	1034	117
898	1035	116
899	1036	115
900	1037	113
901	1038	112
902	1039	111
903	1040	110
904	1041	109
905	1042	108
906	1043	106
907	1044	105
908	1045	104
909	1045	103
910	1046	102
911	1048	101
912	1048	99
913	1049	98
914	1051	97
915	1052	96
916	1053	95
917	1053	94
918	1054	92
919	1055	91
920	1056	90
921	1057	89
922	1058	88
923	1059	87
924	1060	85
925	1061	84
926	1062	83
927	1063	82
928	1064	81
929	1065	80
930	1066	79
931	1067	77
932	1068	76
933	1069	75
934	1069	74
935	1070	73
936	1071	72
937	1072	70
938	1072	69
939	1073	68
940	1074	67
941	1076	66
942	1077	65
943	1077	63
944	1078	62
945	1079	61
946	1080	60
947	1081	59
948	1082	58
949	1083	57
950	1084	55
951	1085	54
952	1086	53
953	1087	52
954	1088	51
955	1089	50
956	1090	48
957	1091	47
958	1092	46
959	1092	45
960	1093	44
961	1094	43
962	1095	42
963	1096	40
964	1097	39
965	1098	38
966	1099	37
967	1100	36
968	1101	35
969	1103	34
970	1104	32
971	1105	31
972	1105	30
973	1106	29
974	1107	28
975	1108	27
976	1110	26
977	1111	25
978	1113	23
979	1114	22
980	1115	21
981	1116	20
982	1117	19
983	1118	18
984	1119	17
985	1120	15
986	1121	14
987	1123	13
988	1125	12
989	1126	11
990	1127	10
991	1128	9
992	1129	7
993	1130	6
994	1131	5
995	1132	4
996	1133	3
997	1134	2
998	1135	1
999	1137	0
